id,name,desc,available,lvl10,min_buff,max_buff
0,Wireless Keyboard Pro,A compact wireless keyboard with a long battery life.,399.99,1,2,1
1,Noise-Cancelling Headphones Max,High-quality headphones with active noise cancellation.,1999.99,81,2,2
2,4K Ultra HD Monitor,A stunning 27-inch 4K monitor with vibrant colors.,4999.99,2,3,3
3,Bluetooth Speaker,Portable Bluetooth speaker with deep bass and crystal clear sound.,599.99,7,4,4
4,Gaming Mouse Xtreme,Ergonomic gaming mouse with customizable buttons and RGB lighting.,499.99,20,5,5
5,Smartwatch Fit,Fitness-focused smartwatch with heart rate monitor and GPS.,1499.99,80,1,6
6,Portable SSD 1TB,High-speed portable SSD with 1TB storage capacity.,529.99,5,2,7
7,USB-C Hub,"7-in-1 USB-C hub with HDMI, USB 3.0, and SD card reader.",949.99,6,4,8
8,Mechanical Keyboard,RGB mechanical keyboard with tactile switches.,899.99,11,123,9
9,xCONE Webcam,Full HD webcam with built-in microphone for video conferencing.,399.99,13,12313,10
1000,Wi-Fi Range Extender,Boost your Wi-Fi signal with this easy-to-install range extender.,249.99,271,23,11
